season,round,fixture_id,kickoff_utc,home_id,away_id,home_score,away_score,teamsheet_status,model,p_away_31_plus,p_away_21_30,p_away_16_20,p_away_11_15,p_away_6_10,p_away_1_5,p_draw,p_home_1_5,p_home_6_10,p_home_11_15,p_home_16_20,p_home_21_30,p_home_31_plus,pick_winner,pick_margin,request_hash,model_version
202101,3,268112,2021-10-09T14:05:00+00:00,glasgow-warriors,10bet-lions,13,9,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268112,2021-10-09T14:05:00+00:00,glasgow-warriors,10bet-lions,13,9,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268113,2021-10-09T16:15:00+00:00,connacht-rugby,dragons-rfc,22,35,ok,elo,0.009463,0.031043,0.033895,0.05218,0.073416,0.094408,0.021085,0.11337,0.119609,0.115334,0.101644,0.142146,0.092407,home,10,,
202101,3,268113,2021-10-09T16:15:00+00:00,connacht-rugby,dragons-rfc,22,35,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268113,2021-10-09T16:15:00+00:00,connacht-rugby,dragons-rfc,22,35,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268114,2021-10-09T16:15:00+00:00,edinburgh-rugby,dhl-stormers,20,20,ok,elo,0.00802,0.027449,0.030719,0.04816,0.069007,0.090371,0.020401,0.110923,0.11918,0.117036,0.105042,0.150767,0.102926,home,10,,
202101,3,268114,2021-10-09T16:15:00+00:00,edinburgh-rugby,dhl-stormers,20,20,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268114,2021-10-09T16:15:00+00:00,edinburgh-rugby,dhl-stormers,20,20,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268115,2021-10-09T18:35:00+00:00,cardiff-rugby,vodacom-bulls,19,29,ok,elo,0.005872,0.021708,0.025409,0.041188,0.061021,0.082626,0.01902,0.105562,0.117271,0.119071,0.110497,0.166367,0.12439,home,11,,
202101,3,268115,2021-10-09T18:35:00+00:00,cardiff-rugby,vodacom-bulls,19,29,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268115,2021-10-09T18:35:00+00:00,cardiff-rugby,vodacom-bulls,19,29,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268116,2021-10-10T13:00:00+00:00,scarlets,munster-rugby,13,43,ok,elo,0.022253,0.057439,0.054655,0.076062,0.096746,0.112468,0.023663,0.119654,0.114122,0.099481,0.079258,0.096121,0.048078,home,5,,
202101,3,268116,2021-10-10T13:00:00+00:00,scarlets,munster-rugby,13,43,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268116,2021-10-10T13:00:00+00:00,scarlets,munster-rugby,13,43,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
